"Species","mean"
"Aepyprymnus_rufescens",4.4984245861
"Bettongia_penicillata",3.6307974027
"Bettongia_tropica",3.3706955
"Dasyurus_maculatus",5.880703532675
"Dasyurus_viverrinus",5.4880841548
"Dendrolagus goodfellowi",5.79110026433333
"Dendrolagus_benettianus",6.067193268
"Dendrolagus_lumholtzi",5.8043598678
"Dendrolagus_matschiei",5.1682757525
"Dorcopsis_atrata",5.51803543
"Dorcopsis_luctuosa",4.73226782533333
"Dorcopsis_muelleri",5.74708232892
"Dorcopsulus_vanheurni",4.7066758743
"Hypsiprymnodon_moschatus",3.9634243018
"Lagorchestes_hirsutus",4.11921378908
"Lagostrophus_fasciatus",5.0847283534
"Macropus_fuliginosus",7.86079466336
"Macropus_giganteus",8.48252226228
"Notamacropus_agilis",6.58848132464444
"Notamacropus_irma",5.2140620565
"Onychogalea_fraenata",3.97624612175
"Onychogalea_unguifera",5.9484797494
"Osphranter_antilopinus",7.82664735456
"Osphranter_robustus",8.3462146404
"Osphranter_rufus",5.7919102466
"Petrogale_brachyotis",4.2030193664
"Petrogale_persephone",4.8311804154
"Potorous_tridactylus",4.33861822728
"Pseudocheirus_peregrinus",3.42535092646667
"Setonix_brachyurus",4.92407629233333
"Spilocuscus_maculatus",4.92885417526667
"Thylacinus_cynocephalus",7.78248563285
"Thylogale_stigmatica",4.798909011
"Thylogale_thetis",5.12675677206667
"Trichosurus_vulpecula",4.278618227
"Wallabia_bicolor",5.43391043253333
